"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Личный кабинет администратора ресторана","Меню","Сортировка меню, отображение всех категорий и блюд в таппере","0","7","0","0","0"
"RKeeper","Чаевые","Проверка логики установки дефолтных чаевых от суммы заказа, ввод кастомных чаевых, ошибки суммы","0","15","0","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - +чай -сбор","1","5","0","0","0"
"Личный кабинет администратора ресторана","Кастомизация","Проверка переключения типу получателя, замена шаблона, проверка на столе","0","5","0","0","0"
"RKeeper","Частичная оплата","Частичная оплата в несколько платежей до конца - +чай +сбор","1","5","0","0","0"
"Личный кабинет администратора ресторана","Реквизиты компании","","0","2","0","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, полная оплата + СБ","1","5","0","0","0"
"Личный кабинет администратора ресторана","Профиль","","0","5","0","0","0"
"Личный кабинет администратора ресторана","Меню","Смена имени категории и позиции, проверка на столе","0","6","0","0","0"
"Личный кабинет администратора ресторана","Авторизация\регистрация","Приглашение на один и тот же e-mail, который уже занят у официанта","0","4","0","0","0"
